Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-02-15,Sydney,18.3,24.4,0.0,,,SW,SSE,19.0,22.0,80.0,56.0,1020.2,1018.9,19.5,23.8,No,No
2008-02-16,Sydney,16.7,24.1,0.0,,,WNW,SSE,11.0,26.0,77.0,52.0,1023.0,1022.6,19.8,23.3,No,No
2008-02-17,Sydney,19.5,24.8,0.0,,,SE,ESE,13.0,24.0,63.0,62.0,1024.7,1023.1,21.8,23.4,No,No
2008-02-18,Sydney,18.6,25.3,0.0,,,SSE,ENE,13.0,24.0,70.0,59.0,1021.7,1019.4,21.2,23.8,No,No
2008-02-19,Sydney,19.0,24.8,0.0,,,WNW,E,7.0,17.0,79.0,65.0,1018.0,1015.4,20.8,23.4,No,No
2008-02-20,Sydney,18.3,26.4,0.0,,,W,E,13.0,22.0,80.0,60.0,1013.4,1010.8,21.3,25.2,No,No
2008-02-21,Sydney,20.6,26.8,0.0,,,WNW,SE,4.0,15.0,86.0,62.0,1011.4,1009.7,22.1,24.9,No,No
2008-02-22,Sydney,19.1,25.4,0.4,,,WNW,E,11.0,28.0,77.0,66.0,1009.2,1003.1,22.3,24.9,No,No
2008-02-23,Sydney,20.5,26.0,0.0,,,WSW,ESE,20.0,24.0,38.0,45.0,1007.4,1007.0,22.5,24.0,No,No
2008-02-24,Sydney,16.5,28.3,0.0,,,WNW,ESE,11.0,24.0,48.0,40.0,1007.9,1008.0,21.2,26.1,No,No
2008-02-25,Sydney,20.5,24.2,0.0,,,E,E,15.0,20.0,58.0,54.0,1017.5,1016.9,21.6,23.5,No,No
2008-02-26,Sydney,19.3,26.2,0.0,,,WSW,E,2.0,28.0,73.0,65.0,1018.3,1015.6,23.0,25.8,No,Yes
2008-02-27,Sydney,19.0,29.0,22.2,,,,NNE,0.0,15.0,82.0,52.0,1014.1,1010.6,21.3,24.7,Yes,Yes
2008-02-28,Sydney,17.9,21.4,4.2,,,S,ESE,20.0,9.0,77.0,88.0,1010.0,1010.1,20.4,19.2,Yes,Yes
2008-02-29,Sydney,14.7,20.6,33.0,,,SW,S,24.0,28.0,65.0,51.0,1015.3,1015.6,17.1,19.9,Yes,No
2008-03-01,Sydney,12.8,22.0,0.2,,,W,SSE,19.0,31.0,55.0,46.0,1020.9,1020.6,15.9,21.2,No,Yes
2008-03-02,Sydney,14.2,23.4,5.4,,,W,SE,13.0,17.0,93.0,54.0,1026.2,1025.2,15.1,22.4,Yes,No
2008-03-03,Sydney,15.0,23.1,0.2,,,W,ENE,15.0,19.0,78.0,57.0,1025.8,1022.5,18.2,22.5,No,No
2008-03-04,Sydney,15.5,25.4,0.0,,,WNW,E,9.0,19.0,77.0,57.0,1020.5,1018.6,18.7,23.8,No,No
2008-03-05,Sydney,18.7,25.8,0.0,,,S,ESE,19.0,22.0,72.0,64.0,1024.8,1024.2,22.6,24.1,No,No
2008-03-06,Sydney,19.6,26.0,0.0,,,N,ENE,11.0,19.0,67.0,65.0,1024.2,1019.8,22.1,24.7,No,No
2008-03-07,Sydney,19.9,24.9,0.0,,,SSW,SSE,13.0,24.0,83.0,75.0,1021.3,1020.7,22.9,23.3,No,Yes
2008-03-08,Sydney,16.5,24.8,17.4,,,WNW,E,9.0,22.0,88.0,71.0,1023.4,1022.3,18.8,21.5,Yes,No
2008-03-09,Sydney,16.4,24.3,0.0,,,W,E,9.0,19.0,82.0,64.0,1025.5,1025.2,19.7,23.8,No,No
2008-03-10,Sydney,19.3,26.3,0.0,,,WNW,NE,9.0,24.0,76.0,50.0,1025.1,1022.5,22.9,25.5,No,No
2008-03-11,Sydney,18.6,26.1,0.0,,,ENE,E,2.0,20.0,72.0,58.0,1022.0,1021.4,21.9,26.0,No,No
2008-03-12,Sydney,19.3,26.4,0.0,,,W,NE,7.0,22.0,77.0,60.0,1021.9,1018.8,22.2,25.0,No,No
2008-03-13,Sydney,19.2,26.1,0.0,,,WNW,ESE,6.0,20.0,84.0,69.0,1019.7,1019.0,22.4,25.3,No,No
2008-03-14,Sydney,18.8,26.0,0.0,,,W,ENE,9.0,24.0,84.0,62.0,1022.8,1020.0,21.8,25.7,No,No
2008-03-15,Sydney,19.3,26.1,0.0,,,NW,ENE,2.0,20.0,80.0,64.0,1022.1,1020.9,22.5,25.6,No,No
2008-03-16,Sydney,19.7,25.8,0.0,,,W,E,7.0,24.0,81.0,69.0,1024.6,1022.6,22.8,24.7,No,No
2008-03-17,Sydney,19.5,25.7,0.0,,,WNW,,4.0,,82.0,60.0,1024.8,1022.8,22.0,25.4,No,No
2008-03-18,Sydney,19.0,26.7,0.0,,,N,ENE,11.0,20.0,73.0,58.0,1023.3,1020.0,22.2,25.6,No,No
2008-03-19,Sydney,19.9,26.9,0.0,,,SSE,E,7.0,13.0,70.0,60.0,1021.2,1019.4,23.9,24.9,No,No
2008-03-20,Sydney,19.7,28.1,0.0,,,NNE,NE,6.0,17.0,70.0,58.0,1014.3,1009.6,23.5,27.6,No,No
2008-03-21,Sydney,17.7,19.6,1.0,,,S,SSW,26.0,22.0,87.0,80.0,1017.3,1018.9,17.8,18.4,No,Yes
2008-03-22,Sydney,16.9,23.2,2.2,,,ESE,E,24.0,30.0,81.0,60.0,1022.8,1022.2,19.6,21.7,Yes,No
2008-03-23,Sydney,16.3,24.8,0.4,,,WNW,ESE,9.0,13.0,82.0,57.0,1023.1,1020.6,18.5,24.8,No,Yes
2008-03-24,Sydney,18.5,24.3,17.0,,,NNW,ENE,7.0,26.0,95.0,72.0,1018.7,1015.3,19.9,23.3,Yes,No
2008-03-25,Sydney,19.8,27.5,0.4,,,NE,NNW,4.0,17.0,81.0,58.0,1011.1,1006.9,21.4,27.0,No,Yes
2008-03-26,Sydney,17.0,27.2,19.0,,,,NW,0.0,6.0,76.0,38.0,1008.9,1007.9,20.5,27.1,Yes,No
2008-03-27,Sydney,15.0,23.6,0.0,,,W,ESE,20.0,19.0,52.0,42.0,1014.7,1013.4,17.5,21.8,No,No
2008-03-28,Sydney,15.2,21.7,0.0,,,SSW,SE,13.0,17.0,71.0,51.0,1017.1,1016.2,18.3,21.2,No,No
2008-03-29,Sydney,14.4,22.9,0.2,,,W,E,15.0,15.0,85.0,65.0,1015.4,1011.2,16.7,21.7,No,No
2008-03-30,Sydney,13.1,26.8,0.0,,,W,WNW,22.0,15.0,61.0,22.0,1013.0,1009.0,16.9,25.9,No,No
2008-03-31,Sydney,13.5,25.6,0.0,,,WNW,WNW,9.0,17.0,57.0,31.0,1015.0,1012.5,16.3,24.9,No,No
2008-04-01,Sydney,13.7,23.9,0.0,,,W,ESE,20.0,15.0,55.0,54.0,1023.0,1021.5,16.7,23.3,No,No
2008-04-02,Sydney,14.1,28.7,0.0,,,W,N,6.0,22.0,75.0,34.0,1019.0,1012.4,17.8,28.0,No,No
2008-04-03,Sydney,16.4,22.2,0.0,,,SW,WSW,26.0,20.0,42.0,21.0,1009.9,1010.8,16.6,21.2,No,No
2008-04-04,Sydney,11.2,22.2,0.0,,,W,E,24.0,15.0,47.0,37.0,1020.8,1019.2,13.9,21.0,No,No
2008-04-05,Sydney,11.6,22.7,0.0,,,WNW,E,13.0,17.0,71.0,50.0,1024.5,1023.4,15.2,21.0,No,No
2008-04-06,Sydney,13.1,22.7,0.0,,,W,ESE,13.0,20.0,71.0,55.0,1027.2,1024.6,17.7,22.1,No,Yes
2008-04-07,Sydney,15.3,22.0,12.0,,,SSW,SSE,11.0,15.0,83.0,70.0,1026.3,1024.2,18.2,19.8,Yes,Yes
2008-04-08,Sydney,14.6,22.1,9.6,,,SE,SE,20.0,17.0,86.0,75.0,1026.5,1024.1,17.0,18.9,Yes,Yes
2008-04-09,Sydney,15.6,22.2,22.8,,,W,E,13.0,20.0,96.0,62.0,1024.6,1021.4,16.3,21.1,Yes,Yes
2008-04-10,Sydney,13.8,22.7,2.2,,,W,E,15.0,15.0,77.0,60.0,1022.1,1019.7,18.7,21.9,Yes,No
2008-04-11,Sydney,14.1,23.5,0.0,,,W,E,15.0,15.0,83.0,61.0,1020.1,1017.5,17.1,22.1,No,No
2008-04-12,Sydney,14.0,23.8,0.0,,,W,E,11.0,9.0,79.0,59.0,1018.6,1016.0,17.6,22.2,No,No
2008-04-13,Sydney,15.1,22.7,0.0,,,W,ESE,11.0,4.0,81.0,75.0,1016.4,1013.4,17.4,19.7,No,Yes
2008-04-14,Sydney,13.2,18.9,11.0,,,SSW,S,19.0,30.0,82.0,64.0,1019.6,1019.2,15.9,18.8,Yes,Yes
2008-04-15,Sydney,13.8,19.7,2.8,,,SW,S,20.0,22.0,85.0,71.0,1025.4,1023.9,15.9,19.0,Yes,Yes
2008-04-16,Sydney,13.8,20.9,1.4,,,SSW,SSW,15.0,20.0,78.0,85.0,1026.4,1024.6,17.2,16.2,Yes,Yes
2008-04-17,Sydney,14.9,19.7,4.6,,,SSW,S,17.0,13.0,91.0,72.0,1025.1,1023.4,16.4,19.4,Yes,Yes
2008-04-18,Sydney,15.3,20.0,6.4,,,W,SSE,4.0,15.0,94.0,75.0,1025.4,1023.7,16.4,19.6,Yes,Yes
2008-04-19,Sydney,15.9,21.4,5.0,,,SE,SE,22.0,24.0,51.0,61.0,1027.2,1026.1,19.3,19.5,Yes,Yes
2008-04-20,Sydney,15.2,19.1,2.8,,,ESE,S,15.0,6.0,79.0,75.0,1026.6,1023.7,17.3,18.4,Yes,Yes
2008-04-21,Sydney,14.7,19.3,21.8,,,SSW,S,9.0,19.0,91.0,70.0,1023.2,1021.4,16.6,19.0,Yes,Yes
2008-04-22,Sydney,14.4,20.3,10.2,,,SSE,SE,9.0,20.0,90.0,55.0,1023.6,1022.3,16.1,20.1,Yes,Yes
2008-04-23,Sydney,14.7,17.9,12.6,,,SW,SSE,6.0,22.0,90.0,89.0,1024.0,1022.1,16.2,17.2,Yes,Yes
2008-04-24,Sydney,14.7,20.0,15.6,,,S,S,19.0,20.0,93.0,80.0,1021.3,1018.6,16.8,19.3,Yes,Yes
2008-04-25,Sydney,16.8,21.2,5.4,,,SSE,S,17.0,15.0,55.0,69.0,,1013.9,19.7,20.3,Yes,No
2008-04-26,Sydney,12.7,24.8,0.4,,,W,E,15.0,6.0,81.0,38.0,1011.2,1007.0,15.6,24.6,No,No
2008-04-27,Sydney,15.6,26.1,0.0,,,NNW,N,20.0,22.0,51.0,28.0,1005.2,999.1,20.3,25.7,No,No
2008-04-28,Sydney,11.9,16.8,0.0,,,W,WSW,20.0,24.0,46.0,33.0,1007.4,1008.6,13.7,15.6,No,No
2008-04-29,Sydney,8.6,18.4,0.0,,,W,SSE,24.0,9.0,54.0,41.0,1020.4,1019.8,11.7,17.8,No,No
2008-04-30,Sydney,8.4,19.6,0.0,,,W,E,15.0,17.0,68.0,50.0,1024.2,1021.3,11.6,18.1,No,No
2008-05-01,Sydney,11.6,18.2,0.0,,,WNW,W,11.0,7.0,74.0,56.0,1019.7,1016.7,13.4,18.1,No,No
2008-05-02,Sydney,10.8,22.2,0.0,,,W,WSW,19.0,17.0,65.0,44.0,1018.7,1015.3,14.5,21.7,No,No
2008-05-03,Sydney,10.9,19.6,0.0,,,W,SSE,19.0,11.0,62.0,52.0,1019.3,1016.9,14.1,18.6,No,No
2008-05-04,Sydney,9.4,20.3,0.0,,,W,SE,22.0,11.0,64.0,47.0,1021.1,1018.3,12.4,19.4,No,No
2008-05-05,Sydney,9.4,22.3,0.0,,,W,NW,15.0,7.0,71.0,34.0,1018.7,1015.2,12.4,22.2,No,No
2008-05-06,Sydney,11.8,23.6,0.0,,,W,WNW,9.0,9.0,74.0,48.0,1017.1,1013.3,13.7,21.1,No,No
2008-05-07,Sydney,13.0,23.0,0.0,,,W,SSE,22.0,13.0,57.0,44.0,1014.3,1011.8,16.5,22.0,No,No
2008-05-08,Sydney,11.0,21.8,0.0,,,W,S,24.0,15.0,63.0,45.0,1019.2,1017.5,14.0,20.8,No,No
2008-05-09,Sydney,11.0,21.9,0.0,,,W,SE,17.0,11.0,75.0,60.0,1021.4,1020.2,14.3,20.6,No,No
2008-05-10,Sydney,12.6,21.3,0.0,,,WNW,E,11.0,11.0,86.0,67.0,1022.2,1019.6,15.2,19.3,No,No
2008-05-11,Sydney,14.0,19.4,0.0,,,WNW,SSE,13.0,15.0,84.0,67.0,1023.1,1021.2,16.8,18.7,No,No
2008-05-12,Sydney,12.4,19.5,0.0,,,W,E,11.0,15.0,88.0,63.0,1023.5,1020.5,14.9,19.2,No,No
2008-05-13,Sydney,13.2,19.7,0.0,,,W,E,11.0,9.0,88.0,67.0,1023.4,1021.7,15.0,18.1,No,No
2008-05-14,Sydney,11.2,20.6,0.0,,,W,ENE,20.0,19.0,82.0,64.0,1023.8,1020.5,13.8,20.0,No,No
2008-05-15,Sydney,12.0,21.4,0.2,,,W,E,13.0,9.0,90.0,60.0,1022.2,1017.8,13.9,21.3,No,Yes
2008-05-16,Sydney,13.8,23.2,1.2,,,WNW,NE,15.0,15.0,78.0,66.0,1017.1,1013.0,15.9,20.9,Yes,No
2008-05-17,Sydney,15.2,21.8,0.0,,,NNW,NNW,20.0,17.0,52.0,41.0,1008.4,1003.6,19.2,20.9,No,No
2008-05-18,Sydney,8.8,17.8,0.0,,,W,W,19.0,31.0,57.0,36.0,1007.0,1006.3,11.6,17.0,No,No
2008-05-19,Sydney,10.7,20.5,0.0,,,W,WNW,22.0,7.0,58.0,36.0,1015.7,1013.3,12.5,20.3,No,No
2008-05-20,Sydney,10.3,21.7,0.0,,,W,W,24.0,7.0,64.0,38.0,1020.1,1017.5,13.0,21.3,No,No
2008-05-21,Sydney,11.1,18.9,0.0,,,WNW,S,19.0,22.0,74.0,64.0,1022.4,1022.8,13.5,17.3,No,No
2008-05-22,Sydney,11.9,18.7,0.0,,,SSW,SSE,20.0,19.0,63.0,52.0,1028.2,1026.2,15.1,17.4,No,No
2008-05-23,Sydney,11.0,18.4,0.0,,,WNW,SSE,17.0,13.0,76.0,53.0,1026.9,1024.6,12.7,17.1,No,No
2008-05-24,Sydney,11.4,20.1,0.0,,,W,NW,13.0,2.0,71.0,39.0,1025.4,1022.7,13.3,19.3,No,No
2008-05-25,Sydney,8.8,18.3,0.0,,,W,ENE,17.0,11.0,78.0,58.0,1025.1,1022.2,11.1,16.9,No,No
2008-05-26,Sydney,10.9,21.1,0.4,,,W,ENE,20.0,13.0,81.0,58.0,1025.9,1022.6,12.9,19.5,No,No
2008-05-27,Sydney,11.5,22.4,0.0,,,W,E,15.0,13.0,82.0,71.0,1024.6,1021.8,13.6,19.1,No,No
2008-05-28,Sydney,11.0,19.2,0.0,,,W,NE,26.0,2.0,80.0,74.0,1025.6,1023.9,12.8,18.6,No,No
2008-05-29,Sydney,11.0,18.6,1.0,,,W,S,19.0,4.0,86.0,76.0,1030.2,1029.1,12.7,17.6,No,No
2008-05-30,Sydney,10.9,21.0,0.2,,,W,E,19.0,7.0,87.0,58.0,1032.0,1028.7,12.7,19.6,No,No
2008-05-31,Sydney,10.8,20.1,0.0,,,WNW,SSE,17.0,17.0,90.0,61.0,1028.6,1026.66,11.7,19.4,No,No
2008-06-01,Sydney,11.6,20.5,0.2,,,W,SE,19.0,17.0,91.0,74.0,1029.3,1027.0,14.3,18.7,No,Yes
2008-06-02,Sydney,14.3,17.6,22.0,,,W,W,9.0,7.0,97.0,90.0,1027.3,1024.8,15.3,17.1,Yes,Yes
2008-06-03,Sydney,15.2,19.1,4.0,,,W,E,17.0,22.0,98.0,90.0,1026.4,1024.1,15.6,16.7,Yes,Yes
2008-06-04,Sydney,15.5,18.3,9.2,,,SE,ESE,19.0,26.0,87.0,88.0,1023.1,1020.5,17.5,17.2,Yes,Yes
2008-06-05,Sydney,15.2,16.9,46.4,,,SSW,S,24.0,24.0,82.0,84.0,1020.1,1018.6,16.0,16.6,Yes,Yes
2008-06-06,Sydney,14.7,17.4,12.4,,,WSW,SSW,15.0,24.0,81.0,70.0,1021.2,1020.3,15.1,16.6,Yes,No
2008-06-07,Sydney,11.7,18.2,0.0,,,W,S,19.0,24.0,76.0,49.0,1025.0,1025.7,13.3,17.9,No,Yes
2008-06-08,Sydney,12.7,17.7,6.0,,,WNW,ESE,17.0,17.0,97.0,71.0,1032.1,1029.8,14.1,17.2,Yes,Yes
2008-06-09,Sydney,13.0,16.9,3.6,,,W,ESE,13.0,2.0,96.0,89.0,1030.9,1028.0,13.9,16.2,Yes,Yes
2008-06-10,Sydney,12.4,19.9,1.6,,,W,N,13.0,9.0,98.0,68.0,1027.5,1023.9,13.2,19.1,Yes,No
2008-06-11,Sydney,13.2,19.9,0.0,,,NNW,N,6.0,4.0,74.0,70.0,1022.9,1020.6,17.3,19.6,No,Yes
2008-06-12,Sydney,13.7,22.1,5.4,,,W,ENE,11.0,7.0,97.0,64.0,1022.4,1018.1,14.1,20.1,Yes,No
2008-06-13,Sydney,14.0,18.8,0.0,,,NW,WSW,20.0,26.0,67.0,42.0,1012.2,1011.5,16.6,16.7,No,No
2008-06-14,Sydney,9.6,14.6,0.0,,,W,SW,30.0,24.0,49.0,52.0,1022.0,1022.5,11.2,14.1,No,No
2008-06-15,Sydney,10.6,15.3,0.0,,,SSW,SSW,24.0,26.0,75.0,87.0,1024.4,1022.8,13.7,14.5,No,Yes
2008-06-16,Sydney,13.3,16.8,7.2,,,SSW,SSW,19.0,20.0,86.0,83.0,1024.2,1023.0,15.0,15.8,Yes,Yes
2008-06-17,Sydney,13.1,17.5,3.4,,,W,SSW,11.0,13.0,88.0,73.0,1026.7,1024.8,14.2,17.3,Yes,No
2008-06-18,Sydney,13.6,19.4,0.0,,,W,NE,13.0,2.0,90.0,69.0,1025.5,1022.1,14.8,19.2,No,No
2008-06-19,Sydney,12.8,20.3,0.0,,,WNW,ESE,13.0,13.0,91.0,69.0,1020.3,1017.4,13.9,18.6,No,Yes
2008-06-20,Sydney,13.8,17.9,3.6,,,W,W,19.0,19.0,81.0,60.0,1018.3,1016.2,14.3,17.2,Yes,Yes
2008-06-21,Sydney,11.6,18.5,2.2,,,W,WSW,15.0,17.0,66.0,40.0,1020.7,1018.9,13.2,18.0,Yes,No
2008-06-22,Sydney,9.7,17.3,0.0,,,W,SSW,22.0,22.0,61.0,54.0,1023.2,1024.0,11.4,16.3,No,No
2008-06-23,Sydney,8.2,17.1,0.0,,,WNW,WSW,13.0,13.0,74.0,43.0,1023.7,1020.4,9.9,17.0,No,No
2008-06-24,Sydney,9.2,19.2,0.0,,,W,WNW,19.0,9.0,72.0,45.0,1027.0,1023.1,10.7,18.8,No,No
2008-06-25,Sydney,9.9,19.6,0.0,,,W,WNW,17.0,6.0,69.0,43.0,1024.6,1020.6,11.8,19.4,No,No
2008-06-26,Sydney,10.2,20.2,0.0,,,WNW,W,28.0,28.0,47.0,38.0,1017.0,1016.8,14.6,19.3,No,No
2008-06-27,Sydney,9.5,19.4,0.0,,,W,WSW,24.0,15.0,57.0,32.0,1025.9,1023.6,10.8,18.9,No,No
2008-06-28,Sydney,7.9,18.7,0.0,,,W,SSE,20.0,9.0,68.0,43.0,1027.6,1024.7,10.1,18.1,No,No
2008-06-29,Sydney,7.9,21.0,0.0,,,WNW,NNW,13.0,6.0,84.0,42.0,1024.1,1018.8,9.2,20.8,No,No
2008-06-30,Sydney,9.2,22.1,0.0,,,NNW,NW,19.0,28.0,47.0,35.0,1017.1,1010.3,13.8,21.6,No,No
2008-07-01,Sydney,10.3,19.6,0.2,,,,W,0.0,41.0,45.0,34.0,1011.0,1008.5,13.1,19.2,No,No
2008-07-02,Sydney,10.8,19.2,0.0,,,WNW,W,26.0,31.0,55.0,35.0,1012.5,1011.2,14.6,18.8,No,No
2008-07-03,Sydney,9.2,17.9,0.0,,,W,WNW,17.0,7.0,63.0,42.0,1022.7,1020.8,10.7,17.4,No,Yes
2008-07-04,Sydney,8.2,15.0,1.2,,,W,S,20.0,9.0,84.0,88.0,1029.0,1028.2,9.1,12.9,Yes,Yes
2008-07-05,Sydney,9.1,17.4,14.2,,,WNW,NE,11.0,15.0,78.0,48.0,1031.9,1028.9,11.3,16.8,Yes,No
2008-07-06,Sydney,8.3,18.4,0.0,,,W,SSE,15.0,4.0,84.0,59.0,1029.2,1025.7,9.8,17.7,No,No
2008-07-07,Sydney,9.7,19.8,0.0,,,W,N,9.0,11.0,87.0,55.0,1024.4,1019.7,11.3,19.3,No,No
2008-07-08,Sydney,10.5,17.2,0.2,,,W,SE,11.0,7.0,80.0,49.0,1020.9,1017.4,12.1,16.4,No,No
2008-07-09,Sydney,6.9,13.3,0.0,,,W,WSW,15.0,20.0,57.0,43.0,1018.0,1015.7,9.6,13.2,No,Yes
2008-07-10,Sydney,7.2,15.8,1.8,,,WNW,NW,11.0,26.0,58.0,38.0,1014.6,1010.0,10.2,15.8,Yes,No
2008-07-11,Sydney,10.0,16.5,0.0,,,W,WSW,24.0,20.0,46.0,27.0,1016.5,1017.0,11.3,16.1,No,No
2008-07-12,Sydney,5.7,15.9,0.0,,,W,NE,17.0,13.0,67.0,45.0,1027.5,1023.5,7.8,15.0,No,No
2008-07-13,Sydney,7.8,17.3,0.0,,,W,N,4.0,17.0,67.0,58.0,1024.2,1021.2,11.5,17.1,No,No
2008-07-14,Sydney,10.1,23.1,0.0,,,,E,0.0,7.0,80.0,54.0,1021.5,1017.3,12.0,22.9,No,No
2008-07-15,Sydney,9.7,19.8,0.0,,,W,ESE,20.0,11.0,81.0,70.0,1020.8,1018.4,11.1,17.4,No,No
2008-07-16,Sydney,8.9,18.0,0.0,,,WNW,SSE,13.0,11.0,81.0,50.0,1022.2,1019.1,10.8,17.4,No,No
2008-07-17,Sydney,8.2,18.5,0.0,,,W,N,15.0,17.0,84.0,38.0,1019.2,1013.3,10.1,17.3,No,No
2008-07-18,Sydney,8.2,18.7,0.0,,,W,W,13.0,39.0,73.0,21.0,1010.1,1007.3,10.1,17.9,No,No
2008-07-19,Sydney,8.1,18.2,0.0,,,W,W,4.0,6.0,53.0,32.0,1016.2,1014.1,10.9,18.2,No,No
2008-07-20,Sydney,10.8,17.6,0.0,,,N,NE,6.0,4.0,41.0,55.0,1015.4,1008.6,14.6,16.8,No,Yes
2008-07-21,Sydney,10.4,17.5,2.8,,,NW,W,26.0,31.0,56.0,31.0,1006.2,1008.1,13.1,16.7,Yes,No
2008-07-22,Sydney,7.2,15.1,0.0,,,W,SSW,19.0,22.0,52.0,31.0,1024.8,1025.2,8.8,13.9,No,No
2008-07-23,Sydney,5.5,14.7,0.0,,,W,SSW,22.0,19.0,67.0,61.0,1031.5,1029.6,7.0,14.1,No,Yes
2008-07-24,Sydney,6.9,15.9,7.0,,,W,ESE,19.0,22.0,95.0,70.0,1029.3,1025.4,10.9,14.7,Yes,Yes
2008-07-25,Sydney,9.8,12.7,8.8,,,WSW,S,15.0,17.0,93.0,81.0,1022.6,1020.1,10.5,12.6,Yes,Yes
2008-07-26,Sydney,6.2,17.0,16.2,,,W,SSE,24.0,13.0,79.0,47.0,1018.3,1014.3,8.4,15.5,Yes,No
2008-07-27,Sydney,6.3,17.6,0.0,,,W,ESE,11.0,6.0,71.0,41.0,1013.1,1008.6,9.1,16.4,No,Yes
2008-07-28,Sydney,7.0,13.6,3.8,,,W,SW,20.0,31.0,79.0,79.0,1011.3,1011.3,8.4,10.2,Yes,Yes
2008-07-29,Sydney,8.0,15.0,33.2,,,W,SSW,22.0,20.0,86.0,59.0,1017.2,1015.1,9.1,13.5,Yes,No
2008-07-30,Sydney,6.0,17.0,0.2,,,W,ESE,19.0,11.0,65.0,43.0,1016.7,1013.7,9.4,16.2,No,No
2008-07-31,Sydney,6.0,20.3,0.0,,,W,E,19.0,11.0,71.0,42.0,1016.6,1011.6,7.9,18.5,No,No
2008-08-01,Sydney,7.9,20.8,0.0,,,WNW,WNW,17.0,26.0,40.0,46.0,1004.8,1003.3,17.2,16.8,No,No
2008-08-02,Sydney,9.7,16.8,0.0,,,W,W,28.0,24.0,48.0,32.0,1013.2,1013.3,11.9,16.6,No,No
2008-08-03,Sydney,9.4,18.8,0.0,,,W,W,20.0,7.0,52.0,34.0,1020.4,1017.7,11.6,18.7,No,No
2008-08-04,Sydney,8.1,17.2,0.0,,,W,E,13.0,13.0,62.0,45.0,1020.4,1017.1,10.6,15.0,No,No
2008-08-05,Sydney,6.6,16.3,0.0,,,W,SSE,22.0,13.0,67.0,52.0,1019.1,1016.1,9.2,16.3,No,No
2008-08-06,Sydney,8.8,15.5,0.0,,,W,SSW,15.0,13.0,89.0,70.0,1014.9,1015.6,9.5,14.3,No,No
2008-08-07,Sydney,8.3,16.5,0.8,,,W,NW,20.0,19.0,74.0,75.0,1017.9,1014.6,10.9,11.4,No,Yes
2008-08-08,Sydney,8.2,18.6,4.6,,,W,SW,17.0,19.0,58.0,38.0,1016.4,1016.9,11.7,18.4,Yes,No
2008-08-09,Sydney,6.9,17.3,0.0,,,W,WNW,19.0,15.0,56.0,37.0,1021.9,1018.1,9.9,16.4,No,No
2008-08-10,Sydney,6.7,15.6,0.0,,,NW,WNW,19.0,24.0,62.0,38.0,1016.2,1011.8,10.5,13.5,No,No
2008-08-11,Sydney,7.0,15.9,0.4,,,W,W,33.0,20.0,46.0,35.0,1016.0,1015.4,9.4,15.4,No,No
